Configuration	Term	J	Prefix	Level (Ry)	Suffix	Uncertainty (Ry)	Reference
"2s.2p3.(3D*).3d"	"4D*"	"3/2"	""	"9.1875"	""	"0.0004"	""
"2s.2p3.(3D*).3d"	"4D*"	"5/2"	""	"9.1875"	""	"0.0004"	""
"2s.2p3.(3D*).3d"	"4D*"	"7/2"	""	"9.1875"	""	"0.0004"	""
"2s.2p3.(3D*).3d"	"4S*"	"3/2"	""	"9.1941"	""	"0.0004"	""
"2s.2p3.(3D*).3d"	"2F*"	"7/2"	""	"9.2116"	""	"0.0003"	""
"2s.2p3.(3D*).3d"	"2F*"	"5/2"	""	"9.2160"	""	"0.0005"	""
"2s2.2p2.(1D).5d"	"2F"	"7/2"	""	"9.4679"	"?"	"0.0009"	""
"2s2.2p2.(1D).5d"	"2F"	"5/2"	""	"9.4679"	"?"	"0.0009"	""
"2s2.2p2.(1D).5d"	"2D"	"3/2"	""	"9.4737"	"?"	"0.0006"	""
"2s2.2p2.(1D).5d"	"2D"	"5/2"	""	"9.4737"	"?"	"0.0006"	""
