Configuration	Term	J	Level (Ry)	Uncertainty (Ry)	Leading percentages	Reference
"34"	""	""	"[0.998601927]"	"0.000000009"	"                        "	"L15291"
	term		"0.998601927"			
"35"	""	""	"[0.998650626]"	"0.000000009"	"                        "	"L15291"
	term		"0.998650626"			
"36"	""	""	"[0.998695323]"	"0.000000009"	"                        "	"L15291"
	term		"0.998695323"			
"37"	""	""	"[0.998736445]"	"0.000000009"	"                        "	"L15291"
	term		"0.998736445"			
"38"	""	""	"[0.998774364]"	"0.000000009"	"                        "	"L15291"
	term		"0.998774364"			
"39"	""	""	"[0.998809403]"	"0.000000009"	"                        "	"L15291"
	term		"0.998809403"			
"40"	""	""	"[0.998841848]"	"0.000000009"	"                        "	"L15291"
	term		"0.998841848"			
