Configuration	Term	J	Prefix	Level (Ry)	Suffix	Uncertainty (Ry)	Leading percentages	Reference
"2s2.2p4.(3P<2>).5g"	"2[4]"	"9/2"	""	"7.390018"	""	""	"                                                   "	""
"2s2.2p4.(3P<2>).5g"	"2[3]"	"5/2"	""	"7.390529"	""	""	"                                                   "	""
"2s2.2p4.(3P<2>).5g"	"2[3]"	"7/2"	""	"7.390542"	""	""	"                                                   "	""
"2s2.2p4.(3P<2>).5g"	"2[6]"	"11/2"	""	"7.390913"	""	""	"                                                   "	""
"2s2.2p4.(3P<2>).5g"	"2[6]"	"13/2"	""	"7.390915"	""	""	"                                                   "	""
"2s2.2p4.(3P<2>).5g"	"2[2]"	"3/2"	""	"7.391263"	""	""	"                                                   "	""
"2s2.2p4.(3P<2>).5g"	"2[2]"	"5/2"	""	"7.391295"	""	""	"                                                   "	""
"2s2.2p4.(3P).5d"	"2D"	"5/2"	""	"7.39269"	""	""	"                                                   "	""
"2s2.2p4.(3P).5d"	""	"3/2"	""	"7.39847"	""	""	"                                                   "	""
"2s2.2p4.(3P<1>).5g"	"2[3]"	"5/2"	""	"7.406387"	""	""	"                                                   "	""
"2s2.2p4.(3P<1>).5g"	"2[3]"	"7/2"	""	"7.406395"	""	""	"                                                   "	""
"2s2.2p4.(3P<1>).5g"	"2[5]"	"9/2"	""	"7.406584"	""	""	"                                                   "	""
"2s2.2p4.(3P<1>).5g"	"2[5]"	"11/2"	""	"7.406595"	""	""	"                                                   "	""
"2s2.2p4.(3P<1>).5g"	"2[4]"	"9/2"	""	"7.407316"	""	""	"                                                   "	""
"2s2.2p4.(3P<1>).5g"	"2[4]"	"7/2"	""	"7.407318"	""	""	"                                                   "	""
"2s2.2p4.(3P<0>).5g"	"2[4]"	"9/2"	""	"7.413521"	""	""	"                                                   "	""
"2s2.2p4.(3P<0>).5g"	"2[4]"	"7/2"	""	"7.413529"	""	""	"                                                   "	""
"2s2.2p4.(1D).5s"	"2D"	"5/2"	""	"7.49730"	""	""	"                                                   "	""
"2s2.2p4.(1D).5s"	"2D"	"3/2"	""	"7.49730"	""	""	"                                                   "	""
"2s.2p5.(3P*).3s"	"2P*"	"3/2"	""	"7.68229"	"?"	""	"                                                   "	""
"2s2.2p4.(1D).5d?"	"2P?"	"3/2"	""	"7.69086"	""	""	"                                                   "	""
"2s2.2p4.(1D).5d?"	"2P?"	"1/2"	""	"7.69142"	""	""	"                                                   "	""
"2s.2p5.(3P*).3s"	"2P*"	"1/2"	""	"7.69388"	"?"	""	"                                                   "	""
"2s2.2p4.(1S).4d?"	"2D?"	"5/2"	""	"7.69496"	""	""	" 100                                               "	""
"2s2.2p4.(1S).4d?"	"2D?"	"3/2"	""	"7.69496"	""	""	" 100                                               "	""
