Configuration	Term	J	Level (Ry)	Uncertainty (Ry)	Leading percentages	Reference
"10l"	"2L"	"15/2"	"(8.910236217444)"	"0.000000000018"	" 100                    "	"L3620c107"
"10l"	"2L"	"17/2"	"(8.910236277487)"	"0.000000000018"	" 100                    "	"L3620c107"
	term		"8.910236249"			
"10m"	"2M*"	"17/2"	"(8.910236277361)"	"0.000000000018"	" 100                    "	"L3620c107"
"10m"	"2M*"	"19/2"	"(8.910236325394)"	"0.000000000018"	" 100                    "	"L3620c107"
	term		"8.910236303"			
"11p"	"2P*"	"1/2"	"(8.92585202494)"	"0.00000000004"	" 100                    "	"L3620c107"
"11p"	"2P*"	"3/2"	"(8.92585364930)"	"0.00000000004"	" 100                    "	"L3620c107"
	term		"8.925853108"			
"11s"	"2S"	"1/2"	"(8.92585214087)"	"0.00000000003"	" 100                    "	"L3620c107"
	term		"8.925852141"			
"11d"	"2D"	"3/2"	"(8.92585364649)"	"0.00000000004"	" 100                    "	"L3620c107"
"11d"	"2D"	"5/2"	"(8.92585418787)"	"0.00000000004"	" 100                    "	"L3620c107"
	term		"8.925853971"			
"11f"	"2F*"	"5/2"	"(8.92585418687)"	"0.00000000004"	" 100                    "	"L3620c107"
"11f"	"2F*"	"7/2"	"(8.92585445755)"	"0.00000000004"	" 100                    "	"L3620c107"
	term		"8.925854342"			
"11g"	"2G"	"7/2"	"(8.92585445703)"	"0.00000000003"	" 100                    "	"L3620c107"
"11g"	"2G"	"9/2"	"(8.92585461943)"	"0.00000000003"	" 100                    "	"L3620c107"
	term		"8.925854547"			
"11h"	"2H*"	"9/2"	"(8.925854619107)"	"0.000000000019"	" 100                    "	"L3620c107"
"11h"	"2H*"	"11/2"	"(8.925854727374)"	"0.000000000019"	" 100                    "	"L3620c107"
	term		"8.925854678"			
"11i"	"2I"	"11/2"	"(8.925854727155)"	"0.000000000018"	" 100                    "	"L3620c107"
"11i"	"2I"	"13/2"	"(8.925854804489)"	"0.000000000018"	" 100                    "	"L3620c107"
	term		"8.925854769"			
"11k"	"2K*"	"13/2"	"(8.925854804330)"	"0.000000000018"	" 100                    "	"L3620c107"
"11k"	"2K*"	"15/2"	"(8.925854862330)"	"0.000000000018"	" 100                    "	"L3620c107"
	term		"8.925854835"			
"11l"	"2L"	"15/2"	"(8.925854862209)"	"0.000000000018"	" 100                    "	"L3620c107"
"11l"	"2L"	"17/2"	"(8.925854907320)"	"0.000000000018"	" 100                    "	"L3620c107"
	term		"8.925854886"			
"11m"	"2M*"	"17/2"	"(8.925854907225)"	"0.000000000018"	" 100                    "	"L3620c107"
"11m"	"2M*"	"19/2"	"(8.925854943314)"	"0.000000000018"	" 100                    "	"L3620c107"
	term		"8.925854926"			
"11n"	"2N"	"19/2"	"(8.925854943238)"	"0.000000000018"	" 100                    "	"L3620c107"
"11n"	"2N"	"21/2"	"(8.925854972764)"	"0.000000000018"	" 100                    "	"L3620c107"
	term		"8.925854959"			
"12p"	"2P*"	"1/2"	"(8.93773194116)"	"0.00000000003"	" 100                    "	"L3620c107"
	term		"8.937731941"			
"12s"	"2S"	"1/2"	"(8.93773203047)"	"0.00000000003"	" 100                    "	"L3620c107"
	term		"8.937732030"			
"12o"	"2O*"	"23/2"	"(8.937734230638)"	"0.000000000018"	" 100                    "	"L3620c107"
	term		"8.937734231"			
"13p"	"2P*"	"1/2"	"(8.94697727067)"	"0.00000000003"	" 100                    "	"L3620c107"
	term		"8.946977271"			
"13s"	"2S"	"1/2"	"(8.946977340932)"	"0.000000000020"	" 100                    "	"L3620c107"
	term		"8.946977341"			
"13q"	"2Q"	"25/2"	"(8.946979083987)"	"0.000000000018"	" 100                    "	"L3620c107"
	term		"8.946979084"			
"14p"	"2P*"	"1/2"	"(8.95431313003)"	"0.00000000003"	" 100                    "	"L3620c107"
	term		"8.954313130"			
"14s"	"2S"	"1/2"	"(8.954313186283)"	"0.000000000020"	" 100                    "	"L3620c107"
	term		"8.954313186"			
"14r"	"2R*"	"27/2"	"(8.954314590496)"	"0.000000000018"	" 100                    "	"L3620c107"
	term		"8.954314590"			
"15p"	"2P*"	"1/2"	"(8.96023130829)"	"0.00000000003"	" 100                    "	"L3620c107"
	term		"8.960231308"			
"15s"	"2S"	"1/2"	"(8.960231354021)"	"0.000000000020"	" 100                    "	"L3620c107"
	term		"8.960231354"			
"15t"	"2T"	"29/2"	"(8.960232501782)"	"0.000000000018"	" 100                    "	"L3620c107"
	term		"8.960232502"			
"16p"	"2P*"	"1/2"	"(8.965074890045)"	"0.000000000020"	" 100                    "	"L3620c107"
	term		"8.965074890"			
"16s"	"2S"	"1/2"	"(8.965074927727)"	"0.000000000019"	" 100                    "	"L3620c107"
	term		"8.965074928"			
"16u"	"2U*"	"31/2"	"(8.965075877835)"	"0.000000000018"	" 100                    "	"L3620c107"
	term		"8.965075878"			
"17p"	"2P*"	"1/2"	"(8.969089122179)"	"0.000000000020"	" 100                    "	"L3620c107"
	term		"8.969089122"			
"17s"	"2S"	"1/2"	"(8.969089153597)"	"0.000000000019"	" 100                    "	"L3620c107"
	term		"8.969089154"			
"17v"	"2V"	"33/2"	"(8.969089948932)"	"0.000000000018"	" 100                    "	"L3620c107"
	term		"8.969089949"			
"18p"	"2P*"	"1/2"	"(8.972453080334)"	"0.000000000020"	" 100                    "	"L3620c107"
	term		"8.972453080"			
"18s"	"2S"	"1/2"	"(8.972453106804)"	"0.000000000019"	" 100                    "	"L3620c107"
	term		"8.972453107"			
