Configuration	Term	J	Level (Ry)	Uncertainty (Ry)	Lande	Reference
"3p6.9f"	"2F*"	"7/2"	" 0.3066625"	"0.0000005"	""	"L6096"
"3p6.11p"	"2P*"	"1/2"	" 0.307429589"	"0.00000003"	""	"L5783"
"3p6.11p"	"2P*"	"3/2"	" 0.307437157"	"0.00000003"	""	"L5783"
"3p6.10d"	"2D"	"5/2"	" 0.308478437"	"0.000000006"	""	"L5451"
"3p6.10d"	"2D"	"3/2"	" 0.308478858"	"0.000000006"	""	"L5451"
"3p6.12s"	"2S"	"1/2"	" 0.308659626"	"0.000000006"	""	"L5451"
"3p6.10f"	"2F*"	"5/2"	" 0.3090145"	"0.0000005"	""	"L6096"
"3p6.10f"	"2F*"	"7/2"	" 0.3090145"	"0.0000005"	""	"L6096"
"3p6.12p"	"2P*"	"1/2"	" 0.309577523"	"0.00000003"	""	"L5783"
"3p6.12p"	"2P*"	"3/2"	" 0.309583067"	"0.00000003"	""	"L5783"
"3p6.11d"	"2D"	"5/2"	" 0.310350266"	"0.000000006"	""	"L5451"
"3p6.11d"	"2D"	"3/2"	" 0.310350570"	"0.000000006"	""	"L5451"
"3p6.13s"	"2S"	"1/2"	" 0.310489090"	"0.000000006"	""	"L5451"
"3p6.11f"	"2F*"	"5/2"	" 0.3107545"	"0.0000005"	""	"L6096"
"3p6.11f"	"2F*"	"7/2"	" 0.3107545"	"0.0000005"	""	"L6096"
"3p6.13p"	"2P*"	"1/2"	" 0.311179731"	"0.00000003"	""	"L5783"
"3p6.13p"	"2P*"	"3/2"	" 0.311183902"	"0.00000003"	""	"L5783"
"3p6.12d"	"2D"	"5/2"	" 0.311765544"	"0.000000006"	""	"L5451"
"3p6.12d"	"2D"	"3/2"	" 0.311765775"	"0.000000006"	""	"L5451"
"3p6.14s"	"2S"	"1/2"	" 0.311873961"	"0.000000006"	""	"L5451"
"3p6.12f"	"2F*"	"5/2"	" 0.3120759"	"0.0000005"	""	"L2996"
"3p6.12f"	"2F*"	"7/2"	" 0.3120759"	"0.0000005"	""	"L2996"
"3p6.14p"	"2P*"	"1/2"	" 0.312406560"	"0.00000003"	""	"L5783"
"3p6.14p"	"2P*"	"3/2"	" 0.312409848"	"0.00000003"	""	"L5783"
"3p6.13d"	"2D"	"5/2"	" 0.312861332"	"0.000000006"	""	"L5451"
"3p6.13d"	"2D"	"3/2"	" 0.312861510"	"0.000000006"	""	"L5451"
"3p6.15s"	"2S"	"1/2"	" 0.312947467"	"0.000000006"	""	"L5451"
"3p6.13f"	"2F*"	"5/2"	" 0.3131055"	"0.0000005"	""	"L2996"
"3p6.13f"	"2F*"	"7/2"	" 0.3131055"	"0.0000005"	""	"L2996"
"3p6.15p"	"2P*"	"1/2"	" 0.313366800"	"0.00000003"	""	"L5783"
"3p6.15p"	"2P*"	"3/2"	" 0.313369382"	"0.00000003"	""	"L5783"
"3p6.14d"	"2D"	"5/2"	" 0.313726931"	"0.000000006"	""	"L5451"
"3p6.14d"	"2D"	"3/2"	" 0.313727072"	"0.000000006"	""	"L5451"
"3p6.16s"	"2S"	"1/2"	" 0.313796415"	"0.000000006"	""	"L5451"
"3p6.14f"	"2F*"	"5/2"	" 0.3139222"	"0.0000006"	""	"L2996"
"3p6.14f"	"2F*"	"7/2"	" 0.3139222"	"0.0000006"	""	"L2996"
"3p6.16p"	"2P*"	"1/2"	" 0.314132438"	"0.00000003"	""	"L5783"
"3p6.16p"	"2P*"	"3/2"	" 0.314134527"	"0.00000003"	""	"L5783"
"3p6.15d"	"2D"	"5/2"	" 0.314422530"	"0.000000006"	""	"L5451"
"3p6.15d"	"2D"	"3/2"	" 0.314422642"	"0.000000006"	""	"L5451"
"3p6.17s"	"2S"	"1/2"	" 0.314479344"	"0.000000006"	""	"L5451"
"3p6.17p"	"2P*"	"1/2"	" 0.314752778"	"0.00000003"	""	"L5783"
"3p6.17p"	"2P*"	"3/2"	" 0.314754453"	"0.00000003"	""	"L5783"
"3p6.16d"	"2D"	"5/2"	" 0.314989863"	"0.000000006"	""	"L5451"
"3p6.16d"	"2D"	"3/2"	" 0.314989956"	"0.000000006"	""	"L5451"
"3p6.18s"	"2S"	"1/2"	" 0.315036881"	"0.000000006"	""	"L5451"
"3p6.18p"	"2P*"	"1/2"	" 0.315262357"	"0.00000003"	""	"L5783"
"3p6.18p"	"2P*"	"3/2"	" 0.315263768"	"0.00000003"	""	"L5783"
"3p6.17d"	"2D"	"5/2"	" 0.315458614"	"0.000000006"	""	"L5451"
"3p6.17d"	"2D"	"3/2"	" 0.315458690"	"0.000000006"	""	"L5451"
"3p6.19s"	"2S"	"1/2"	" 0.315497945"	"0.000000006"	""	"L5451"
"3p6.19p"	"2P*"	"3/2"	" 0.315687235"	"0.00000003"	""	"L5783"
"3p6.18d"	"2D"	"5/2"	" 0.315850356"	"0.000000006"	""	"L5451"
"3p6.18d"	"2D"	"3/2"	" 0.315850420"	"0.000000006"	""	"L5451"
"3p6.20s"	"2S"	"1/2"	" 0.315883580"	"0.000000006"	""	"L5451"
"3p6.20p"	"2P*"	"3/2"	" 0.316043105"	"0.00000003"	""	"L5783"
"3p6.19d"	"2D"	"5/2"	" 0.316181079"	"0.000000006"	""	"L5451"
"3p6.19d"	"2D"	"3/2"	" 0.316181134"	"0.000000006"	""	"L5451"
"3p6.21s"	"2S"	"1/2"	" 0.316209386"	"0.000000006"	""	"L5451"
"3p6.21p"	"2P*"	"3/2"	" 0.316345123"	"0.00000003"	""	"L5783"
"3p6.20d"	"2D"	"5/2"	" 0.316462815"	"0.000000006"	""	"L5451"
"3p6.20d"	"2D"	"3/2"	" 0.316462861"	"0.000000006"	""	"L5451"
"3p6.22s"	"2S"	"1/2"	" 0.316487125"	"0.000000006"	""	"L5451"
"3p6.21d"	"2D"	"5/2"	" 0.316704783"	"0.000000006"	""	"L5451"
"3p6.21d"	"2D"	"3/2"	" 0.316704823"	"0.000000006"	""	"L5451"
"3p6.23s"	"2S"	"1/2"	" 0.316725815"	"0.000000006"	""	"L5451"
"3p6.22d"	"2D"	"5/2"	" 0.316914129"	"0.000000006"	""	"L5451"
"3p6.22d"	"2D"	"3/2"	" 0.316914163"	"0.000000006"	""	"L5451"
"3p6.24s"	"2S"	"1/2"	" 0.316932435"	"0.000000006"	""	"L5451"
"3p6.23d"	"2D"	"5/2"	" 0.317096458"	"0.000000006"	""	"L5451"
"3p6.23d"	"2D"	"3/2"	" 0.317096488"	"0.000000006"	""	"L5451"
"3p6.25s"	"2S"	"1/2"	" 0.317112495"	"0.000000006"	""	"L5451"
"3p6.24d"	"2D"	"5/2"	" 0.317256231"	"0.000000006"	""	"L5451"
"3p6.24d"	"2D"	"3/2"	" 0.317256259"	"0.000000006"	""	"L5451"
"3p6.26s"	"2S"	"1/2"	" 0.317270355"	"0.000000006"	""	"L5451"
"3p6.25d"	"2D"	"5/2"	" 0.317397019"	"0.000000006"	""	"L5451"
"3p6.25d"	"2D"	"3/2"	" 0.317397042"	"0.000000006"	""	"L5451"
"3p6.27s"	"2S"	"1/2"	" 0.317409523"	"0.000000006"	""	"L5451"
"3p6.26d"	"2D"	"5/2"	" 0.317521712"	"0.000000006"	""	"L5451"
"3p6.26d"	"2D"	"3/2"	" 0.317521733"	"0.000000006"	""	"L5451"
"3p6.28s"	"2S"	"1/2"	" 0.317532830"	"0.000000006"	""	"L5451"
"3p6.27d"	"2D"	"5/2"	" 0.317632674"	"0.000000006"	""	"L5451"
"3p6.27d"	"2D"	"3/2"	" 0.317632692"	"0.000000006"	""	"L5451"
"3p6.29s"	"2S"	"1/2"	" 0.317642607"	"0.000000006"	""	"L5451"
"3p6.28d"	"2D"	"5/2"	" 0.317731851"	"0.000000006"	""	"L5451"
"3p6.28d"	"2D"	"3/2"	" 0.317731868"	"0.000000006"	""	"L5451"
"3p6.30s"	"2S"	"1/2"	" 0.317740759"	"0.000000006"	""	"L5451"
"3p6.29d"	"2D"	"5/2"	"[0.317820850]"	"0.000000006"	""	"L5451"
"3p6.29d"	"2D"	"3/2"	"[0.317820866]"	"0.000000006"	""	"L5451"
"3p6.31s"	"2S"	"1/2"	"[0.317828871]"	"0.000000006"	""	"L5451"
"3p6.30d"	"2D"	"5/2"	" 0.317901022"	"0.000000006"	""	"L5451"
"3p6.30d"	"2D"	"3/2"	" 0.317901035"	"0.000000006"	""	"L5451"
"3p6.32s"	"2S"	"1/2"	" 0.317908267"	"0.000000006"	""	"L5451"
"3p6.31d"	"2D"	"5/2"	"[0.317973495]"	"0.000000006"	""	"L5451"
"3p6.31d"	"2D"	"3/2"	"[0.317973507]"	"0.000000006"	""	"L5451"
"3p6.33s"	"2S"	"1/2"	"[0.317980063]"	"0.000000006"	""	"L5451"
"3p6.32d"	"2D"	"5/2"	" 0.318039224"	"0.000000006"	""	"L5451"
"3p6.32d"	"2D"	"3/2"	" 0.318039235"	"0.000000006"	""	"L5451"
"3p6.34s"	"2S"	"1/2"	" 0.318045199"	"0.000000006"	""	"L5451"
"3p6.33d"	"2D"	"5/2"	"[0.318099020]"	"0.000000006"	""	"L5451"
"3p6.33d"	"2D"	"3/2"	"[0.318099030]"	"0.000000006"	""	"L5451"
"3p6.35s"	"2S"	"1/2"	"[0.318104465]"	"0.000000006"	""	"L5451"
"3p6.34d"	"2D"	"5/2"	" 0.318153576"	"0.000000006"	""	"L5451"
"3p6.34d"	"2D"	"3/2"	" 0.318153585"	"0.000000006"	""	"L5451"
"3p6.36s"	"2S"	"1/2"	" 0.318158554"	"0.000000006"	""	"L5451"
"3p6.35d"	"2D"	"5/2"	"[0.318203490]"	"0.000000006"	""	"L5451"
"3p6.35d"	"2D"	"3/2"	"[0.318203497]"	"0.000000006"	""	"L5451"
"3p6.37s"	"2S"	"1/2"	"[0.318208053]"	"0.000000006"	""	"L5451"
"3p6.36d"	"2D"	"5/2"	" 0.318249267"	"0.000000006"	""	"L5451"
"3p6.36d"	"2D"	"3/2"	" 0.318249275"	"0.000000006"	""	"L5451"
"3p6.38s"	"2S"	"1/2"	" 0.318253464"	"0.000000006"	""	"L5451"
"3p6.37d"	"2D"	"5/2"	"[0.318291361]"	"0.000000006"	""	"L5451"
"3p6.37d"	"2D"	"3/2"	"[0.318291368]"	"0.000000006"	""	"L5451"
"3p6.39s"	"2S"	"1/2"	"[0.318295223]"	"0.000000006"	""	"L5451"
"3p6.38d"	"2D"	"5/2"	" 0.318330149"	"0.000000006"	""	"L5451"
"3p6.38d"	"2D"	"3/2"	" 0.318330157"	"0.000000006"	""	"L5451"
"3p6.40s"	"2S"	"1/2"	" 0.318333715"	"0.000000006"	""	"L5451"
"3p6.39d"	"2D"	"5/2"	"[0.318365973]"	"0.000000006"	""	"L5451"
"3p6.39d"	"2D"	"3/2"	"[0.318365979]"	"0.000000006"	""	"L5451"
"3p6.41s"	"2S"	"1/2"	"[0.318369271]"	"0.000000006"	""	"L5451"
"3p6.40d"	"2D"	"5/2"	" 0.318399125"	"0.000000006"	""	"L5451"
"3p6.40d"	"2D"	"3/2"	" 0.318399131"	"0.000000006"	""	"L5451"
"3p6.42s"	"2S"	"1/2"	" 0.318402183"	"0.000000006"	""	"L5451"
"3p6.41d"	"2D"	"5/2"	"[0.318429865]"	"0.000000006"	""	"L5451"
"3p6.41d"	"2D"	"3/2"	"[0.318429871]"	"0.000000006"	""	"L5451"
"3p6.43s"	"2S"	"1/2"	"[0.318432703]"	"0.000000006"	""	"L5451"
"3p6.42d"	"2D"	"5/2"	" 0.318458424"	"0.000000006"	""	"L5451"
"3p6.42d"	"2D"	"3/2"	"[0.318458428]"	"0.000000006"	""	"L5451"
"3p6.44s"	"2S"	"1/2"	" 0.318461061"	"0.000000006"	""	"L5451"
"3p6.43d"	"2D"	"5/2"	"[0.318484996]"	"0.000000006"	""	"L5451"
"3p6.43d"	"2D"	"3/2"	"[0.318485002]"	"0.000000006"	""	"L5451"
"3p6.45s"	"2S"	"1/2"	"[0.318487456]"	"0.000000006"	""	"L5451"
"3p6.44d"	"2D"	"5/2"	"[0.318509769]"	"0.000000006"	""	"L5451"
"3p6.44d"	"2D"	"3/2"	"[0.318509775]"	"0.000000006"	""	"L5451"
"3p6.46s"	"2S"	"1/2"	" 0.318512064"	"0.000000006"	""	"L5451"
"3p6.45d"	"2D"	"5/2"	"[0.318532899]"	"0.000000006"	""	"L5451"
"3p6.45d"	"2D"	"3/2"	"[0.318532904]"	"0.000000006"	""	"L5451"
"3p6.46d"	"2D"	"5/2"	" 0.318554527"	"0.000000006"	""	"L5451"
"3p6.46d"	"2D"	"3/2"	"[0.318554533]"	"0.000000006"	""	"L5451"
