Configuration	Term	J	Prefix	Level (Ry)	Suffix	Uncertainty (Ry)	Leading percentages	Reference
"2s2.2p3.(2P*).3d"	"1F*"	"3"	""	"6.08218"	""	"0.00009"	" 100                                        "	""
"2s2.2p3.(2P*).3d"	"1P*"	"1"	""	"6.13410"	""	"0.00009"	"  98                                        "	""
"2s2.2p3.(4S*).4d"	"3D*"	"2"	""	"6.23877"	""	"0.00009"	"                                            "	""
"2s2.2p3.(4S*).4d"	"3D*"	"3"	""	"6.23881"	""	"0.00009"	"                                            "	""
"2s2.2p3.(4S*).4d"	"3D*"	"1"	""	"6.23890"	""	"0.00009"	"                                            "	""
"2s2.2p3.(2D*).4s"	"3D*"	"3"	""	"6.28549"	""	"0.00009"	"                                            "	""
"2s2.2p3.(2D*).4s"	"3D*"	"2"	""	"6.28582"	""	"0.00009"	"                                            "	""
"2s2.2p3.(2D*).4s"	"3D*"	"1"	""	"6.28599"	""	"0.00009"	"                                            "	""
"2s2.2p3.(2D*).4s"	"1D*"	"2"	""	"6.30397"	""	"0.00009"	"                                            "	""
"2s2.2p3.(2P*).4s"	"3P*"	"0"	""	"6.51071"	"?"	"0.00009"	"                                            "	""
"2s2.2p3.(2P*).4s"	"3P*"	"1"	""	"6.51071"	""	"0.00009"	"                                            "	""
"2s2.2p3.(2P*).4s"	"3P*"	"2"	""	"6.51085"	""	"0.00009"	"                                            "	""
"2s2.2p3.(2P*).4s"	"1P*"	"1"	""	"6.52931"	""	"0.00009"	"                                            "	""
"2s2.2p3.(2D*).4d"	"3D*"	"3"	""	"6.65865"	""	"0.00009"	"                                            "	""
"2s2.2p3.(2D*).4d"	"3D*"	"2"	""	"6.65888"	""	"0.00009"	"                                            "	""
"2s2.2p3.(2D*).4d"	"3D*"	"1"	""	"6.65901"	""	"0.00009"	"                                            "	""
"2s2.2p3.(2D*).4d"	"1P*"	"1"	""	"6.66760"	""	"0.00009"	"                                            "	""
"2s2.2p3.(2D*).4d"	"3P*"	"2"	""	"6.67344"	""	"0.00009"	"                                            "	""
"2s2.2p3.(2D*).4d"	"3P*"	"1"	""	"6.67363"	""	"0.00009"	"                                            "	""
"2s2.2p3.(2D*).4d"	"3S*"	"1"	""	"6.67940"	""	"0.00009"	"                                            "	""
"2s2.2p3.(2D*).4d"	"1D*"	"2"	""	"6.68221"	""	"0.00009"	"                                            "	""
"2s2.2p3.(2D*).4d"	"1F*"	"3"	""	"6.68796"	""	"0.00009"	"                                            "	""
"2s2.2p3.(2P*).4d"	"1D*"	"2"	""	"6.88722"	""	"0.00009"	"                                            "	""
"2s2.2p3.(2P*).4d"	"1F*"	"3"	""	"6.89825"	""	"0.00009"	"                                            "	""
