Configuration	Term	J	Prefix	Level (Ry)	Suffix	Uncertainty (Ry)	Leading percentages	Reference
"3d3.(4F).4d"	"5D"	"4"	""	"3.3574140"	""	"0.0000018"	"  80                        :    20  3d3.(4P).4d  5D   "	"L18718,L11803"
"3d3.(4P).4d"	"5F"	"1"	""	"3.435396"	""	"0.000005"	"  78                        :    14  3d3.(4P).4d  3D   "	"L18718,L11803"
"3d3.(4P).4d"	"5F"	"2"	""	"3.436414"	""	"0.000003"	"  85                        :     9  3d3.(4P).4d  3D   "	"L18718,L11803"
"3d3.(4P).4d"	"5F"	"3"	""	"3.438012"	""	"0.000003"	"  85                        :     7  3d3.(4P).4d  3D   "	"L18718,L11803"
"3d3.(4P).4d"	"3D"	"1"	""	"3.438156"	""	"0.000003"	"  54                        :    21  3d3.(2G).4d  3D   "	"L18718,L11803"
"3d3.(4P).4d"	"3D"	"2"	""	"3.440376"	""	"0.000003"	"  60                        :    24  3d3.(2G).4d  3D   "	"L18718,L11803"
"3d3.(4P).4d"	"5F"	"4"	""	"3.440738"	""	"0.000005"	"  96                        :     2  3d3.(4F).4d  5F   "	"L18718,L11803"
"3d3.(4P).4d"	"3D"	"3"	""	"3.4416992"	""	"0.0000018"	"  61                        :    21  3d3.(2G).4d  3D   "	"L18718,L11803"
"3d3.(4P).4d"	"5F"	"5"	""	"3.445151"	""	"0.000005"	"  98                        :     2  3d3.(4F).4d  5F   "	"L18718,L11803"
"3d3.(2G).4d"	"3I"	"5"	""	"3.4461732"	""	"0.0000018"	"  89                        :     9  3d3.(2H).4d  3I   "	"L18718,L11803"
"3d3.(2G).4d"	"1H"	"5"	""	"3.4505840"	""	"0.0000021"	"  66                        :    14  3d3.(2G).4d  3G   "	"L18718,L11803"
"3d3.(2G).4d"	"3I"	"6"	""	"3.450833"	""	"0.000003"	"  92                        :     7  3d3.(2H).4d  3I   "	"L18718,L11803"
"3d3.(2G).4d"	"3G"	"4"	""	"3.4515442"	""	"0.0000018"	"  73                        :     8  3d3.(2D2).4d 3G   "	"L18718,L11803"
"3d3.(2G).4d"	"3G"	"3"	""	"3.4521675"	""	"0.0000018"	"  55                        :    25  3d3.(2G).4d  1F   "	"L18718,L11803"
"3d3.(2G).4d"	"3G"	"5"	""	"3.4547078"	""	"0.0000018"	"  57                        :    15  3d3.(2G).4d  1H   "	"L18718,L11803"
"3d3.(2G).4d"	"3I"	"7"	""	"3.456167"	""	"0.000003"	"  93                        :     6  3d3.(2H).4d  3I   "	"L18718,L11803"
"3d3.(4P).4d"	"5P"	"3"	""	"3.4593288"	""	"0.0000021"	"  92                        :     2  3d3.(2G).4d  3D   "	"L18718,L11803"
"3d3.(4P).4d"	"5P"	"2"	""	"3.4603253"	""	"0.0000022"	"  94                        :     2  3d3.(4P).4d  5D   "	"L18718,L11803"
"3d3.(2G).4d"	"3H"	"4"	""	"3.461149"	""	"0.000004"	"  81                        :    13  3d3.(2H).4d  3H   "	"L18718,L11803"
"3d3.(4P).4d"	"5P"	"1"	""	"3.461670"	""	"0.000003"	"  96                        :     2  3d3.(4P).4d  5D   "	"L18718,L11803"
"3d3.(2G).4d"	"3H"	"5"	""	"3.466434"	""	"0.000004"	"  73                        :    11  3d3.(2H).4d  3H   "	"L18718,L11803"
"3d3.(2G).4d"	"3H"	"6"	""	"3.469527"	""	"0.000003"	"  83                        :    12  3d3.(2H).4d  3H   "	"L18718,L11803"
"3d3.(4P).4d"	"5D"	"0"	""	"3.472442"	""	"0.000006"	"  82                        :    17  3d3.(4F).4d  5D   "	"L18718,L11803"
"3d3.(4P).4d"	"5D"	"1"	""	"3.4734156"	""	"0.0000018"	"  79                        :    17  3d3.(4F).4d  5D   "	"L18718,L11803"
"3d3.(4P).4d"	"5D"	"2"	""	"3.474973"	""	"0.000003"	"  77                        :    17  3d3.(4F).4d  5D   "	"L18718,L11803"
"3d3.(4P).4d"	"5D"	"3"	""	"3.476773"	""	"0.000003"	"  77                        :    18  3d3.(4F).4d  5D   "	"L18718,L11803"
"3d3.(4P).4d"	"3F"	"2"	""	"3.4769084"	""	"0.0000018"	"  37                        :    18  3d3.(2G).4d  1D   "	"L18718,L11803"
"3d3.(4P).4d"	"5D"	"4"	""	"3.478375"	""	"0.000003"	"  76                        :    19  3d3.(4F).4d  5D   "	"L18718,L11803"
"3d3.(2G).4d"	"3D"	"2"	""	"3.481037"	""	"0.000003"	"  34                        :    10  3d3.(4P).4d  3F   "	"L18718,L11803"
"3d3.(2G).4d"	"3D"	"3"	""	"3.4820025"	""	"0.0000018"	"  36                        :    18  3d3.(4P).4d  3F   "	"L18718,L11803"
"3d3.(2P).4d"	"3F"	"3"	""	"3.484159"	""	"0.000003"	"  30                        :    23  3d3.(4P).4d  3F   "	"L18718,L11803"
"3d3.(2G).4d"	"3F"	"2"	""	"3.4851609"	""	"0.0000018"	"  25                        :    22  3d3.(2G).4d  1D   "	"L18718,L11803"
"3d3.(2P).4d"	"3F"	"4"	""	"3.489473"	""	"0.000004"	"  41                        :    29  3d3.(2G).4d  3F   "	"L18718,L11803"
"3d3.(4P).4d"	"3F"	"3"	""	"3.4938057"	""	"0.000003"	"  26                        :    31  3d3.(2G).4d  3F   "	"L18718,L11803"
"3d3.(2G).4d"	"1G"	"4"	""	"3.5040367"	""	"0.0000019"	"  50                        :    28  3d3.(2D2).4d 1G   "	"L18718,L11803"
"3d3.(2H).4d"	"3I"	"5"	""	"3.508190"	""	"0.000003"	"  75                        :    17  3d3.(2H).4d  1H   "	"L18718,L11803"
"3d3.(2P).4d"	"1F"	"3"	""	"3.5084509"	""	"0.0000018"	"  38                        :    12  3d3.(2D2).4d 1F   "	"L18718,L11803"
"3d3.(4P).4d"	"3P"	"2"	""	"3.510051"	""	"0.000004"	"  41                        :    22  3d3.(2P).4d  3D   "	"L18718,L11803"
"3d3.(2H).4d"	"3I"	"6"	""	"3.510368"	""	"0.000003"	"  90                        :     7  3d3.(2G).4d  3I   "	"L18718,L11803"
"3d3.(2H).4d"	"1H"	"5"	""	"3.5117219"	""	"0.0000020"	"  70                        :    14  3d3.(2H).4d  3I   "	"L18718,L11803"
"3d3.(2H).4d"	"3I"	"7"	""	"3.512478"	""	"0.000004"	"  93                        :     6  3d3.(2G).4d  3I   "	"L18718,L11803"
"3d3.(2P).4d"	"3D"	"3"	""	"3.516926"	""	"0.000003"	"  48                        :    17  3d3.(2D2).4d 3D   "	"L18718,L11803"
"3d3.(2D2).4d"	"3G"	"4"	""	"3.5234082"	""	"0.0000017"	"  48                        :    29  3d3.(2H).4d  3G   "	"L18718,L11803"
"3d3.(2D2).4d"	"3G"	"3"	""	"3.524036"	""	"0.000004"	"  34                        :    21  3d3.(2H).4d  3G   "	"L18718,L11803"
"3d3.(2D2).4d"	"3G"	"5"	""	"3.525657"	""	"0.000003"	"  53                        :    31  3d3.(2H).4d  3G   "	"L18718,L11803"
"3d3.(2D2).4d"	"3F"	"3"	""	"3.534287"	""	"0.000003"	"  58                        :    14  3d3.(2P).4d  3F   "	"L18718,L11803"
