Configuration	Term	J	Level (Ry)	Uncertainty (Ry)	Reference
	term		"1.786732033"		
"1s.7f"	"1F*"	"3"	"[1.786732068733]"	"0.000000000004"	"L8948"
	term		"1.786732069"		
"1s.7g"	"3G"	"4"	"[1.786733778936]"	"0.000000000004"	"L8948"
"1s.7g"	"3G"	"5"	"[1.786733788122]"	"0.000000000004"	"L8948"
"1s.7g"	"3G"	"3"	"[1.786733796486]"	"0.000000000004"	"L8948"
	term		"1.786733787"		
"1s.7g"	"1G"	"4"	"[1.786733802132]"	"0.000000000004"	"L8948"
	term		"1.786733802"		
"1s.7h"	"3H*"	"5"	"[1.786734196064]"	"0.000000000004"	"L8948"
"1s.7h"	"3H*"	"6"	"[1.786734202056]"	"0.000000000004"	"L8948"
"1s.7h"	"3H*"	"4"	"[1.786734207495]"	"0.000000000004"	"L8948"
	term		"1.786734202"		
"1s.7h"	"1H*"	"5"	"[1.786734211554]"	"0.000000000004"	"L8948"
	term		"1.786734212"		
"1s.7i"	"3I"	"6"	"[1.786734327091]"	"0.000000000004"	"L8948"
"1s.7i"	"3I"	"7"	"[1.786734331294]"	"0.000000000004"	"L8948"
"1s.7i"	"3I"	"5"	"[1.786734335124]"	"0.000000000004"	"L8948"
	term		"1.786734331"		
"1s.7i"	"1I"	"6"	"[1.786734338166]"	"0.000000000004"	"L8948"
	term		"1.786734338"		
"1s.7p"	"1P*"	"1"	"[1.786804118106]"	"0.000000000012"	"L8948"
	term		"1.786804118"		
"1s.8s"	"3S"	"1"	"[1.790287657305]"	"0.000000000021"	"L8948"
	term		"1.790287657"		
"1s.8s"	"1S"	"0"	"[1.790954726129]"	"0.000000000021"	"L8948"
	term		"1.790954726"		
"1s.8p"	"3P*"	"2"	"[1.791247677247]"	"0.000000000010"	"L8948"
"1s.8p"	"3P*"	"1"	"[1.791247687044]"	"0.000000000010"	"L8948"
"1s.8p"	"3P*"	"0"	"[1.791247807400]"	"0.000000000010"	"L8948"
	term		"1.791247695"		
"1s.8d"	"3D"	"3"	"[1.791506024923]"	"0.000000000004"	"L8948"
"1s.8d"	"3D"	"2"	"[1.791506026405]"	"0.000000000004"	"L8948"
"1s.8d"	"3D"	"1"	"[1.791506047392]"	"0.000000000004"	"L8948"
	term		"1.791506030"		
"1s.8d"	"1D"	"2"	"[1.791508866708]"	"0.000000000004"	"L8948"
	term		"1.791508867"		
"1s.8f"	"3F*"	"3"	"[1.791515288478]"	"0.000000000004"	"L8948"
"1s.8f"	"3F*"	"4"	"[1.791515293999]"	"0.000000000004"	"L8948"
"1s.8f"	"3F*"	"2"	"[1.791515303805]"	"0.000000000004"	"L8948"
	term		"1.791515294"		
"1s.8f"	"1F*"	"3"	"[1.791515318846]"	"0.000000000004"	"L8948"
	term		"1.791515319"		
"1s.8g"	"3G"	"4"	"[1.791516481293]"	"0.000000000004"	"L8948"
"1s.8g"	"3G"	"5"	"[1.791516487444]"	"0.000000000004"	"L8948"
"1s.8g"	"3G"	"3"	"[1.791516493047]"	"0.000000000004"	"L8948"
	term		"1.791516487"		
"1s.8g"	"1G"	"4"	"[1.791516496833]"	"0.000000000004"	"L8948"
	term		"1.791516497"		
"1s.8h"	"3H*"	"5"	"[1.791516767521]"	"0.000000000004"	"L8948"
"1s.8h"	"3H*"	"6"	"[1.791516771535]"	"0.000000000004"	"L8948"
"1s.8h"	"3H*"	"4"	"[1.791516775179]"	"0.000000000004"	"L8948"
	term		"1.791516771"		
"1s.8h"	"1H*"	"5"	"[1.791516777898]"	"0.000000000004"	"L8948"
