Configuration	Term	J	Prefix	Level (Ry)	Suffix	Uncertainty (Ry)	Leading percentages	Reference
"3p6.3d7.(2G).4p"	"3F*"	"4"	""	"1.960434"	""	""	"  53             :    12  3d7.(2G).4p  3G*  "	""
"3p6.3d7.(2G).4p"	"3H*"	"4"	""	"1.965912"	""	""	"  83             :     6  3d7.(2G).4p  3F*  "	""
"3p6.3d7.(2G).4p"	"3H*"	"6"	""	"1.968987"	""	""	"  95             :     3  3d7.(2H).4p  3I*  "	""
"3p6.3d7.(2P).4p"	"3P*"	"0"	""	"1.972245"	""	""	"  67             :    13  3d7.(2D2).4p 3P*  "	""
"3p6.3d7.(2P).4p"	"3P*"	"2"	""	"1.974742"	""	""	"  54             :    14  3d7.(4P).4p  5P*  "	""
"3p6.3d7.(2G).4p"	"3F*"	"3"	""	"1.978171"	""	""	"  73             :    16  3d7.(2G).4p  3G*  "	""
"3p6.3d7.(2P).4p"	"3P*"	"1"	""	"1.978446"	""	""	"  49             :    17  3d7.(4P).4p  3S*  "	""
"3p6.3d7.(2G).4p"	"1G*"	"4"	""	"1.981501"	""	""	"  46             :    27  3d7.(2G).4p  3F*  "	""
"3p6.3d7.(4P).4p"	"5P*"	"3"	""	"1.983109"	""	""	"  62             :    22  3d7.(4P).4p  3D*  "	""
"3p6.3d7.(4P).4p"	"*"	"2"	""	"1.983369"	""	""	"  18  5P*        :    18  3d7.(2P).4p  3D*  "	""
"3p6.3d7.(2G).4p"	"3G*"	"5"	""	"1.986558"	""	""	"  80             :    14  3d7.(2G).4p  1H*  "	""
"3p6.3d7.(4P).4p"	"5P*"	"2"	""	"1.986813"	""	""	"  54             :    23  3d7.(4P).4p  3D*  "	""
"3p6.3d7.(4P).4p"	"3D*"	"3"	""	"1.987816"	""	""	"  52             :    23  3d7.(4P).4p  5P*  "	""
"3p6.3d7.(4P).4p"	"5P*"	"1"	""	"1.988118"	""	""	"  66             :    19  3d7.(4P).4p  3S*  "	""
"3p6.3d7.(2G).4p"	"3G*"	"3"	""	"1.992285"	""	""	"  45             :    29  3d7.(2G).4p  1F*  "	""
"3p6.3d7.(4P).4p"	"3D*"	"1"	""	"1.992313"	""	""	"  53             :    24  3d7.(2P).4p  3D*  "	""
"3p6.3d7.(2G).4p"	"3F*"	"2"	""	"1.993180"	""	""	"  93             :     5  3d7.(4F).4p  3F*  "	""
"3p6.3d7.(2G).4p"	"1H*"	"5"	""	"1.993984"	""	""	"  64             :    27  3d7.(2G).4p  3H*  "	""
"3p6.3d7.(2G).4p"	"3G*"	"4"	""	"1.995172"	""	""	"  74             :     9  3d7.(2G).4p  1G*  "	""
"3p6.3d7.(2G).4p"	"*"	"3"	""	"1.999345"	""	""	"  35  1F*        :    34  3d7.(2G).4p  3G*  "	""
"3p6.3d7.(2P).4p"	"1S*"	"0"	""	"2.003579"	""	""	"  53             :    37  3d7.(4P).4p  3P*  "	""
"3p6.3d7.(4P).4p"	"3P*"	"2"	""	"2.007663"	""	""	"  59             :    11  3d7.(4P).4p  3D*  "	""
"3p6.3d7.(2H).4p"	"3G*"	"5"	""	"2.013144"	""	""	"  92             :     5  3d7.(2F).4p  3G*  "	""
"3p6.3d7.(4P).4p"	"3P*"	"1"	""	"2.016375"	""	""	"  49             :    25  3d7.(2P).4p  3D*  "	""
"3p6.3d7.(2H).4p"	"3I*"	"6"	""	"2.019382"	""	""	"  69             :    29  3d7.(2H).4p  1I*  "	""
"3p6.3d7.(2P).4p"	"3D*"	"3"	""	"2.019823"	""	""	"  72             :     8  3d7.(2D2).4p 3F*  "	""
"3p6.3d7.(4P).4p"	"3D*"	"2"	""	"2.020630"	""	""	"  25             :    24  3d7.(4P).4p  3D*  "	""
"3p6.3d7.(4P).4p"	"*"	"1"	""	"2.026074"	""	""	"  38  3P*        :    22  3d7.(2P).4p  3D*  "	""
