Configuration	Term	J	Level (Ry)	Uncertainty (Ry)	Lande	Leading percentages	Reference
"3d3.(4F).4s.4p.(3P*)"	"z 6G*"	"5/2"	" 0.14990229"	"0.00000006"	"0.78"	"  98                                             "	"L15916,L20010,L14162"
"3d3.(4F).4s.4p.(3P*)"	"z 6G*"	"7/2"	" 0.15102099"	"0.00000003"	"1.10"	" 100                                             "	"L15916,L20010,L14162"
"3d3.(4F).4s.4p.(3P*)"	"z 6G*"	"9/2"	" 0.15244407"	"0.00000004"	"1.22"	" 100                                             "	"L15916,L20010,L14162"
"3d3.(4F).4s.4p.(3P*)"	"z 6G*"	"11/2"	" 0.154160961"	"0.000000018"	"1.26"	"  98                                             "	"L15916,L20010,L14162"
"3d4.(3G).4s"	"a 4G"	"5/2"	" 0.155415903"	"0.000000018"	"0.59"	"  96                                             "	"L15916,L20010,L14162"
"3d4.(3G).4s"	"a 4G"	"7/2"	" 0.155981098"	"0.000000018"	"0.96"	"  92                                             "	"L15916,L20010,L14162"
"3d3.(4F).4s.4p.(3P*)"	"z 6G*"	"13/2"	" 0.156159624"	"0.000000018"	"1.43"	" 100                                             "	"L15916,L20010,L14162"
"3d4.(3G).4s"	"a 4G"	"9/2"	" 0.156574570"	"0.000000018"	"1.14"	"  92                                             "	"L15916,L20010,L14162"
"3d4.(3G).4s"	"a 4G"	"11/2"	" 0.157121303"	"0.000000009"	"1.27"	"  94                                             "	"L15916,L20010,L14162"
"3d3.(4F).4s.4p.(3P*)"	"z 6D*"	"1/2"	" 0.164811321"	"0.000000018"	"3.20"	"  90         :     6  3d4.(5D).4p           6D*  "	"L15916,L20010,L14162"
"3d3.(4F).4s.4p.(3P*)"	"z 6F*"	"1/2"	" 0.165122537"	"0.000000018"	"-0.44"	"  96         :     3  3d4.(5D).4p           6F*  "	"L15916,L20010,L14162"
"3d3.(4F).4s.4p.(3P*)"	"z 6D*"	"3/2"	" 0.16517854"	"0.00000003"	"1.76"	"  88         :     6  3d4.(5D).4p           6D*  "	"L15916,L20010,L14162"
"3d3.(4F).4s.4p.(3P*)"	"z 6F*"	"3/2"	" 0.16561435"	"0.00000003"	"1.14"	"  94         :     3  3d4.(5D).4p           6F*  "	"L15916,L20010,L14162"
"3d3.(4F).4s.4p.(3P*)"	"z 6D*"	"5/2"	" 0.165833207"	"0.000000018"	"1.58"	"  86         :     6  3d4.(5D).4p           6D*  "	"L15916,L20010,L14162"
"3d3.(4F).4s.4p.(3P*)"	"z 6F*"	"5/2"	" 0.16638693"	"0.00000004"	"1.28"	"  92         :     4  3d3.(4F).4s.4p.(3P*)  6D*  "	"L15916,L20010,L14162"
"3d3.(4F).4s.4p.(3P*)"	"z 6D*"	"7/2"	" 0.166782647"	"0.000000018"	"1.56"	"  85         :     6  3d4.(5D).4p           6D*  "	"L15916,L20010,L14162"
"3d3.(4F).4s.4p.(3P*)"	"z 6F*"	"7/2"	" 0.167422193"	"0.000000018"	"1.28"	"  92         :     4  3d3.(4F).4s.4p.(3P*)  6D*  "	"L15916,L20010,L14162"
"3d3.(4F).4s.4p.(3P*)"	"z 6D*"	"9/2"	" 0.168019820"	"0.000000018"	"1.55"	"  88         :     6  3d4.(5D).4p           6D*  "	"L15916,L20010,L14162"
"3d3.(4F).4s.4p.(3P*)"	"z 6F*"	"9/2"	" 0.168706541"	"0.000000018"	"1.38"	"  92         :     3  3d4.(5D).4p           6F*  "	"L15916,L20010,L14162"
"3d3.(4F).4s.4p.(3P*)"	"z 6F*"	"11/2"	" 0.17022532"	"0.00000003"	"1.42"	"  96         :     4  3d4.(5D).4p           6F*  "	"L15916,L20010,L14162"
"3d4.(3P2).4s"	"b 2P"	"1/2"	" 0.171364206"	"0.000000018"	"0.67"	"  82         :    12  3d3.4s2               2P   "	"L15916,L20010,L14162"
"3d4.(3H).4s"	"b 2H"	"9/2"	" 0.173355170"	"0.000000013"	"0.91"	"  88         :     5  3d3.4s2               2H   "	"L15916,L20010,L14162"
"3d4.(3F2).4s"	"a 2F"	"5/2"	" 0.17338064"	"0.00000003"	"0.86"	"  86         :     7  3d3.4s2               2F   "	"L15916,L20010,L14162"
"3d4.(3F2).4s"	"a 2F"	"7/2"	" 0.173852549"	"0.000000018"	"1.14"	"  84         :     7  3d3.4s2               2F   "	"L15916,L20010,L14162"
"3d4.(3H).4s"	"b 2H"	"11/2"	" 0.174463426"	"0.000000012"	"1.08"	"  88         :     5  3d3.4s2               2H   "	"L15916,L20010,L14162"
