R rho Te mu radheat radcool PdV advheat advcool
1.06327e+00 1.30350e-14 4.32892e+03 1.26216e+00 2.84152e-07 9.50716e-09 2.52486e-07 0.00000e+00 2.17515e-08
1.06416e+00 1.29547e-14 4.32986e+03 1.26202e+00 2.83903e-07 9.47853e-09 2.51743e-07 0.00000e+00 2.17206e-08
1.06504e+00 1.28744e-14 4.33080e+03 1.26188e+00 2.83653e-07 9.44987e-09 2.51009e-07 0.00000e+00 2.18844e-08
1.06593e+00 1.27956e-14 4.33177e+03 1.26173e+00 2.83420e-07 9.42315e-09 2.50281e-07 0.00000e+00 2.31781e-08
1.06681e+00 1.27256e-14 4.33289e+03 1.26159e+00 2.83282e-07 9.40776e-09 2.49561e-07 0.00000e+00 2.42746e-08
1.06770e+00 1.26557e-14 4.33402e+03 1.26145e+00 2.83144e-07 9.39237e-09 2.48839e-07 0.00000e+00 2.42399e-08
1.06859e+00 1.25856e-14 4.33515e+03 1.26131e+00 2.83006e-07 9.37696e-09 2.48116e-07 0.00000e+00 2.42052e-08
1.06948e+00 1.25155e-14 4.33628e+03 1.26117e+00 2.82868e-07 9.36154e-09 2.47392e-07 0.00000e+00 2.41705e-08
1.07037e+00 1.24454e-14 4.33742e+03 1.26103e+00 2.82730e-07 9.34610e-09 2.46666e-07 0.00000e+00 2.45080e-08
1.07126e+00 1.23753e-14 4.33860e+03 1.26089e+00 2.82581e-07 9.33173e-09 2.45942e-07 0.00000e+00 2.72779e-08
1.07215e+00 1.23062e-14 4.34009e+03 1.26075e+00 2.82364e-07 9.32443e-09 2.45236e-07 0.00000e+00 2.96698e-08
1.07304e+00 1.22371e-14 4.34159e+03 1.26060e+00 2.82146e-07 9.31713e-09 2.44528e-07 0.00000e+00 2.96270e-08
1.07393e+00 1.21678e-14 4.34308e+03 1.26046e+00 2.81929e-07 9.30982e-09 2.43819e-07 0.00000e+00 2.95841e-08
1.07483e+00 1.20986e-14 4.34458e+03 1.26031e+00 2.81711e-07 9.30250e-09 2.43108e-07 0.00000e+00 2.95412e-08
1.07572e+00 1.20292e-14 4.34608e+03 1.26016e+00 2.81493e-07 9.29517e-09 2.42397e-07 0.00000e+00 2.95792e-08
1.07662e+00 1.19597e-14 4.34758e+03 1.26002e+00 2.81263e-07 9.28771e-09 2.41684e-07 0.00000e+00 3.02272e-08
1.07751e+00 1.18894e-14 4.34915e+03 1.25986e+00 2.80950e-07 9.27924e-09 2.40989e-07 0.00000e+00 3.07933e-08
1.07841e+00 1.18191e-14 4.35072e+03 1.25971e+00 2.80637e-07 9.27077e-09 2.40321e-07 0.00000e+00 3.07502e-08
1.07931e+00 1.17487e-14 4.35229e+03 1.25955e+00 2.80323e-07 9.26228e-09 2.39651e-07 0.00000e+00 3.07070e-08
1.08020e+00 1.16783e-14 4.35386e+03 1.25940e+00 2.80009e-07 9.25379e-09 2.38980e-07 0.00000e+00 3.06637e-08
1.08110e+00 1.16078e-14 4.35543e+03 1.25924e+00 2.79694e-07 9.24530e-09 2.38322e-07 0.00000e+00 3.07980e-08
1.08200e+00 1.15398e-14 4.35703e+03 1.25909e+00 2.79412e-07 9.23919e-09 2.37668e-07 0.00000e+00 3.13109e-08
1.08290e+00 1.14772e-14 4.35869e+03 1.25894e+00 2.79200e-07 9.23820e-09 2.37015e-07 0.00000e+00 3.16456e-08
1.08380e+00 1.14146e-14 4.36035e+03 1.25879e+00 2.78987e-07 9.23722e-09 2.36361e-07 0.00000e+00 3.16011e-08
1.08470e+00 1.13520e-14 4.36202e+03 1.25863e+00 2.78774e-07 9.23624e-09 2.35706e-07 0.00000e+00 3.15566e-08
1.08561e+00 1.12892e-14 4.36369e+03 1.25848e+00 2.78560e-07 9.23525e-09 2.35050e-07 0.00000e+00 3.15119e-08
1.08651e+00 1.12265e-14 4.36535e+03 1.25833e+00 2.78347e-07 9.23426e-09 2.34392e-07 0.00000e+00 3.27712e-08
1.08741e+00 1.11651e-14 4.36720e+03 1.25817e+00 2.78099e-07 9.22875e-09 2.33743e-07 0.00000e+00 3.45024e-08
1.08832e+00 1.11042e-14 4.36911e+03 1.25802e+00 2.77837e-07 9.22157e-09 2.33096e-07 0.00000e+00 3.49278e-08
1.08922e+00 1.10433e-14 4.37102e+03 1.25786e+00 2.77575e-07 9.21439e-09 2.32448e-07 0.00000e+00 3.48780e-08
1.09013e+00 1.09823e-14 4.37293e+03 1.25771e+00 2.77313e-07 9.20721e-09 2.31798e-07 0.00000e+00 3.48282e-08
1.09104e+00 1.09213e-14 4.37484e+03 1.25755e+00 2.77051e-07 9.20002e-09 2.31147e-07 0.00000e+00 3.48655e-08
1.09194e+00 1.08600e-14 4.37676e+03 1.25739e+00 2.76780e-07 9.19368e-09 2.30495e-07 0.00000e+00 3.58943e-08
1.09285e+00 1.07966e-14 4.37880e+03 1.25723e+00 2.76408e-07 9.19709e-09 2.29849e-07 0.00000e+00 3.68339e-08
1.09376e+00 1.07331e-14 4.38083e+03 1.25706e+00 2.76036e-07 9.20050e-09 2.29218e-07 0.00000e+00 3.67821e-08
1.09467e+00 1.06696e-14 4.38286e+03 1.25689e+00 2.75663e-07 9.20391e-09 2.28606e-07 0.00000e+00 3.67312e-08
1.09558e+00 1.06060e-14 4.38490e+03 1.25672e+00 2.75291e-07 9.20733e-09 2.27993e-07 0.00000e+00 3.66802e-08
1.09649e+00 1.05423e-14 4.38694e+03 1.25656e+00 2.74918e-07 9.21075e-09 2.27378e-07 0.00000e+00 3.63152e-08
1.09741e+00 1.04829e-14 4.38894e+03 1.25639e+00 2.74604e-07 9.21682e-09 2.26777e-07 0.00000e+00 3.57227e-08
1.09832e+00 1.04264e-14 4.39092e+03 1.25623e+00 2.74335e-07 9.22482e-09 2.26177e-07 0.00000e+00 3.54447e-08
1.09923e+00 1.03700e-14 4.39291e+03 1.25606e+00 2.74065e-07 9.23282e-09 2.25574e-07 0.00000e+00 3.53956e-08
1.10015e+00 1.03135e-14 4.39489e+03 1.25590e+00 2.73794e-07 9.24083e-09 2.24971e-07 0.00000e+00 3.53465e-08
1.10106e+00 1.02570e-14 4.39688e+03 1.25574e+00 2.73524e-07 9.24885e-09 2.24366e-07 0.00000e+00 3.60590e-08
1.10198e+00 1.02009e-14 4.39897e+03 1.25557e+00 2.73246e-07 9.25884e-09 2.23766e-07 0.00000e+00 3.86936e-08
1.10289e+00 1.01462e-14 4.40134e+03 1.25540e+00 2.72948e-07 9.27380e-09 2.23178e-07 0.00000e+00 4.05618e-08
1.10381e+00 1.00914e-14 4.40371e+03 1.25524e+00 2.72651e-07 9.28878e-09 2.22589e-07 0.00000e+00 4.05051e-08
1.10473e+00 1.00366e-14 4.40608e+03 1.25507e+00 2.72353e-07 9.30376e-09 2.21998e-07 0.00000e+00 4.04484e-08
1.10565e+00 9.98179e-15 4.40845e+03 1.25490e+00 2.72055e-07 9.31876e-09 2.21406e-07 0.00000e+00 4.03958e-08
1.10657e+00 9.92689e-15 4.41083e+03 1.25473e+00 2.71755e-07 9.33374e-09 2.20813e-07 0.00000e+00 4.07008e-08
1.10749e+00 9.87097e-15 4.41323e+03 1.25456e+00 2.71360e-07 9.34571e-09 2.20221e-07 0.00000e+00 4.10009e-08
1.10841e+00 9.81500e-15 4.41563e+03 1.25438e+00 2.70965e-07 9.35769e-09 2.19627e-07 0.00000e+00 4.09434e-08
1.10933e+00 9.75898e-15 4.41804e+03 1.25420e+00 2.70569e-07 9.36968e-09 2.19032e-07 0.00000e+00 4.08857e-08
1.11025e+00 9.70292e-15 4.42045e+03 1.25403e+00 2.70172e-07 9.38168e-09 2.18453e-07 0.00000e+00 4.08290e-08
1.11118e+00 9.64681e-15 4.42286e+03 1.25385e+00 2.69776e-07 9.39369e-09 2.17886e-07 0.00000e+00 4.09613e-08
1.11210e+00 9.59320e-15 4.42530e+03 1.25367e+00 2.69403e-07 9.40690e-09 2.17320e-07 0.00000e+00 4.11616e-08
1.11303e+00 9.54047e-15 4.42775e+03 1.25349e+00 2.69040e-07 9.42056e-09 2.16752e-07 0.00000e+00 4.11732e-08
1.11395e+00 9.48770e-15 4.43020e+03 1.25332e+00 2.68676e-07 9.43423e-09 2.16206e-07 0.00000e+00 4.11175e-08
1.11488e+00 9.43488e-15 4.43265e+03 1.25314e+00 2.68311e-07 9.44791e-09 2.15659e-07 0.00000e+00 4.10618e-08
1.11581e+00 9.38202e-15 4.43511e+03 1.25296e+00 2.67947e-07 9.46160e-09 2.15110e-07 0.00000e+00 4.17422e-08
1.11674e+00 9.33151e-15 4.43768e+03 1.25278e+00 2.67606e-07 9.47899e-09 2.14566e-07 0.00000e+00 4.29146e-08
1.11767e+00 9.28256e-15 4.44033e+03 1.25261e+00 2.67282e-07 9.49887e-09 2.14023e-07 0.00000e+00 4.33492e-08
1.11859e+00 9.23358e-15 4.44298e+03 1.25243e+00 2.66958e-07 9.51877e-09 2.13479e-07 0.00000e+00 4.32897e-08
1.11953e+00 9.18455e-15 4.44564e+03 1.25225e+00 2.66633e-07 9.53869e-09 2.12934e-07 0.00000e+00 4.32302e-08
1.12046e+00 9.13549e-15 4.44829e+03 1.25207e+00 2.66308e-07 9.55862e-09 2.12387e-07 0.00000e+00 4.36699e-08
1.12139e+00 9.08656e-15 4.45102e+03 1.25189e+00 2.65955e-07 9.57860e-09 2.11842e-07 0.00000e+00 4.45246e-08
1.12232e+00 9.03775e-15 4.45380e+03 1.25171e+00 2.65578e-07 9.59860e-09 2.11299e-07 0.00000e+00 4.48788e-08
1.12326e+00 8.98890e-15 4.45658e+03 1.25152e+00 2.65201e-07 9.61863e-09 2.10755e-07 0.00000e+00 4.48168e-08
1.12419e+00 8.94001e-15 4.45937e+03 1.25134e+00 2.64823e-07 9.63867e-09 2.10209e-07 0.00000e+00 4.47546e-08
1.12512e+00 8.89108e-15 4.46216e+03 1.25116e+00 2.64445e-07 9.65873e-09 2.09661e-07 0.00000e+00 4.50339e-08
1.12606e+00 8.84197e-15 4.46499e+03 1.25097e+00 2.64034e-07 9.67782e-09 2.09114e-07 0.00000e+00 4.56774e-08
1.12700e+00 8.79268e-15 4.46786e+03 1.25077e+00 2.63586e-07 9.69589e-09 2.08587e-07 0.00000e+00 4.59797e-08
1.12793e+00 8.74334e-15 4.47074e+03 1.25058e+00 2.63138e-07 9.71398e-09 2.08067e-07 0.00000e+00 4.59176e-08
1.12887e+00 8.69396e-15 4.47361e+03 1.25039e+00 2.62689e-07 9.73208e-09 2.07545e-07 0.00000e+00 4.58554e-08
1.12981e+00 8.64455e-15 4.47649e+03 1.25020e+00 2.62240e-07 9.75019e-09 2.07025e-07 0.00000e+00 4.58381e-08
1.13075e+00 8.59705e-15 4.47939e+03 1.25000e+00 2.61827e-07 9.76977e-09 2.06526e-07 0.00000e+00 4.58784e-08
1.13169e+00 8.55200e-15 4.48230e+03 1.24982e+00 2.61458e-07 9.79119e-09 2.06026e-07 0.00000e+00 4.58735e-08
1.13263e+00 8.50692e-15 4.48522e+03 1.24963e+00 2.61089e-07 9.81262e-09 2.05524e-07 0.00000e+00 4.58121e-08
