R rho Te mu radheat radcool PdV advheat advcool
1.06103e+00 1.13887e-14 4.53261e+03 2.49117e+00 3.54542e-07 3.14680e-07 2.46017e-08 0.00000e+00 4.87720e-09
1.06191e+00 1.12832e-14 4.53507e+03 2.48962e+00 3.52804e-07 3.13032e-07 2.45484e-08 0.00000e+00 4.87569e-09
1.06280e+00 1.11776e-14 4.53754e+03 2.48807e+00 3.51064e-07 3.11383e-07 2.44951e-08 0.00000e+00 4.87164e-09
1.06368e+00 1.10774e-14 4.53992e+03 2.48653e+00 3.49467e-07 3.09909e-07 2.44418e-08 0.00000e+00 4.86652e-09
1.06457e+00 1.09983e-14 4.54199e+03 2.48502e+00 3.48428e-07 3.09124e-07 2.43885e-08 0.00000e+00 4.86246e-09
1.06545e+00 1.09192e-14 4.54406e+03 2.48352e+00 3.47387e-07 3.08338e-07 2.43351e-08 0.00000e+00 4.85923e-09
1.06634e+00 1.08400e-14 4.54613e+03 2.48201e+00 3.46346e-07 3.07551e-07 2.42818e-08 0.00000e+00 4.85748e-09
1.06723e+00 1.07551e-14 4.54833e+03 2.48020e+00 3.45129e-07 3.06871e-07 2.42284e-08 0.00000e+00 4.85632e-09
1.06812e+00 1.06614e-14 4.55073e+03 2.47792e+00 3.43635e-07 3.06359e-07 2.41751e-08 0.00000e+00 4.85445e-09
1.06900e+00 1.05675e-14 4.55312e+03 2.47563e+00 3.42140e-07 3.05848e-07 2.41219e-08 0.00000e+00 4.85206e-09
1.06989e+00 1.04736e-14 4.55552e+03 2.47334e+00 3.40644e-07 3.05335e-07 2.40687e-08 0.00000e+00 4.84875e-09
1.07078e+00 1.03971e-14 4.55745e+03 2.47236e+00 3.39455e-07 3.03657e-07 2.40155e-08 0.00000e+00 4.84505e-09
1.07167e+00 1.03275e-14 4.55919e+03 2.47190e+00 3.38388e-07 3.01517e-07 2.39624e-08 0.00000e+00 4.84177e-09
1.07257e+00 1.02578e-14 4.56093e+03 2.47144e+00 3.37320e-07 2.99375e-07 2.39094e-08 0.00000e+00 4.83877e-09
1.07346e+00 1.01880e-14 4.56267e+03 2.47097e+00 3.36250e-07 2.97231e-07 2.38565e-08 0.00000e+00 4.83624e-09
1.07435e+00 1.00954e-14 4.56495e+03 2.46848e+00 3.34592e-07 2.96607e-07 2.38036e-08 0.00000e+00 4.83384e-09
1.07525e+00 1.00008e-14 4.56728e+03 2.46582e+00 3.32885e-07 2.96106e-07 2.37508e-08 0.00000e+00 4.83106e-09
1.07614e+00 9.90618e-15 4.56960e+03 2.46315e+00 3.31175e-07 2.95605e-07 2.36982e-08 0.00000e+00 4.82797e-09
1.07704e+00 9.81187e-15 4.57193e+03 2.46052e+00 3.29473e-07 2.95079e-07 2.36456e-08 0.00000e+00 4.82453e-09
1.07793e+00 9.74486e-15 4.57369e+03 2.46003e+00 3.28300e-07 2.92918e-07 2.35931e-08 0.00000e+00 4.82088e-09
1.07883e+00 9.67781e-15 4.57545e+03 2.45955e+00 3.27126e-07 2.90757e-07 2.35407e-08 0.00000e+00 4.81731e-09
1.07973e+00 9.61069e-15 4.57721e+03 2.45906e+00 3.25951e-07 2.88593e-07 2.34884e-08 0.00000e+00 4.81377e-09
1.08062e+00 9.54352e-15 4.57898e+03 2.45858e+00 3.24775e-07 2.86427e-07 2.34363e-08 0.00000e+00 4.81022e-09
1.08152e+00 9.46119e-15 4.58136e+03 2.45596e+00 3.23274e-07 2.86100e-07 2.33842e-08 0.00000e+00 4.80656e-09
1.08242e+00 9.37860e-15 4.58375e+03 2.45330e+00 3.21767e-07 2.85796e-07 2.33322e-08 0.00000e+00 4.80265e-09
1.08332e+00 9.29594e-15 4.58614e+03 2.45065e+00 3.20259e-07 2.85492e-07 2.32804e-08 0.00000e+00 4.79851e-09
1.08423e+00 9.21322e-15 4.58854e+03 2.44799e+00 3.18750e-07 2.85188e-07 2.32287e-08 0.00000e+00 4.79418e-09
1.08513e+00 9.15339e-15 4.59018e+03 2.44737e+00 3.17690e-07 2.83365e-07 2.31771e-08 0.00000e+00 4.78974e-09
1.08603e+00 9.09415e-15 4.59180e+03 2.44680e+00 3.16641e-07 2.81498e-07 2.31256e-08 0.00000e+00 4.78522e-09
1.08693e+00 9.03485e-15 4.59342e+03 2.44624e+00 3.15592e-07 2.79631e-07 2.30742e-08 0.00000e+00 4.78061e-09
1.08784e+00 8.97550e-15 4.59504e+03 2.44567e+00 3.14541e-07 2.77761e-07 2.30229e-08 0.00000e+00 4.77588e-09
1.08874e+00 8.90105e-15 4.59706e+03 2.44349e+00 3.13058e-07 2.76840e-07 2.29717e-08 0.00000e+00 4.77099e-09
