,8.000,8.020,8.040,8.060,8.080,8.100,8.120,8.140,8.160,8.180,8.200,8.220,8.240,8.260,8.280,8.300,8.320,8.340,8.360,8.380,8.400,8.420,8.440,8.460,8.480,8.500,8.520,8.540,8.560,8.580,8.600,8.620,8.640,8.660,8.680,8.700,8.720,8.740,8.760,8.780,8.800,8.820,8.840,8.860,8.880,8.900,8.920,8.940,8.960,8.980,9.000,9.020,9.040,9.060,9.080,9.100,9.120,9.140,9.160,9.180,9.200,9.220,9.240,9.260,9.280,9.300,9.320,9.340,9.360,9.380,9.400,9.420,9.440,9.460,9.480,9.500,9.520,9.540,9.560,9.580,9.600,9.620,9.640,9.660,9.680,9.700,9.720,9.740,9.760,9.780,9.800,9.820,9.840,9.860,9.880,9.900,9.920,9.940,9.960,9.980,10.000,10.020,10.040,10.060,10.080,10.100,10.120,10.140,10.160,10.180,10.200,10.220,10.240,10.260,10.280,10.300,10.320,10.340,10.360,10.380,10.400,10.420,10.440,10.460,10.480,10.500,10.520,10.540,10.560,10.580,10.600,10.620,10.640,10.660,10.680,10.700,10.720,10.740,10.760,10.780,10.800,10.820,10.840,10.860,10.880,10.900,10.920,10.940,10.960,10.980,11.000,11.020,11.040,11.060,11.080,11.100,11.120,11.140,11.160,11.180,11.200,11.220,11.240,11.260,11.280,11.300,11.320,11.340,11.360,11.380,11.400,11.420,11.440,11.460,11.480,11.500,11.520,11.540,11.560,11.580,11.600,11.620,11.640,11.660,11.680,11.700,11.720,11.740,11.760,11.780,11.800,11.820,11.840,11.860,11.880,11.900,11.920,11.940,11.960,11.980,12.000
3900,,,,,,,,,,,,,,,,,,,,,,,,,,304.05102275838635,,,,,277.2315601307138,,,,,243.15874204816572,,,,,209.95479109040863,,,,,170.77486692235374,,,,,135.94095570409942,,,,,105.94493375521122,,,,,93.56861382655893,,,,,113.99333200207616,,,,,178.00485002959542,,,,,320.67389444008194,,,,,541.1787225594409,,,,,852.5132088860528,,,,,1281.5387588105511,,,,,1586.0001332193979,,,,,2543.397828641377,,,,,3202.072954810121,,,,,4157.709466574792,,,,,5093.511757944555,,,,,6141.984130004009,,,,,7263.045390693439,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4000,,,,,,,,,,,,,,,,,,,,,,,,,,308.61543333634177,,,,,282.49636512664324,,,,,250.99725581867781,,,,,217.08146773949912,,,,,178.5268676069135,,,,,140.72878473942006,,,,,109.69769492771655,,,,,93.42276330079997,,,,,104.37674866115523,,,,,157.78667057949647,,,,,308.60127165306534,,,,,503.18009835191367,,,,,857.2302765334692,,,,,1333.254573649214,,,,,1817.7690527728682,,,,,2619.366315807962,,,,,3259.1599679860747,,,,,4230.19884733841,,,,,5064.765163162049,,,,,6189.413714972007,,,,,7217.884614703978,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4100,,,,,,,,,,,,,,,,,,,,,,,,,,312.64986242121404,,,,,286.5820788413493,,,,,256.7006603535333,,,,,222.41630162170824,,,,,184.25246579213845,,,,,146.20283262779904,,,,,113.16397140155672,,,,,93.69604773657159,,,,,100.04583318759711,,,,,146.0185120015598,,,,,286.78921976255435,,,,,450.90829714579303,,,,,828.2357372344217,,,,,1199.1865927715785,,,,,1827.8694934272094,,,,,2365.215723954544,,,,,2972.221589525537,,,,,3868.1413246036172,,,,,4656.629973935228,,,,,6346.005414416646,,,,,6988.288708252705,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4200,,,,,,,,,,,,,,,,,,,,,,,,,,316.02579838135034,,,,,291.15775502918586,,,,,261.6727391185192,,,,,227.47122075509031,,,,,189.97050516603397,,,,,151.66258255423926,,,,,116.52537792252697,,,,,94.31922372051676,,,,,98.32886169613187,,,,,137.11360279011453,,,,,268.9736489716128,,,,,480.8629339394033,,,,,785.3112340649843,,,,,1249.730376377072,,,,,1815.1076998866076,,,,,2260.1192046533783,,,,,3343.6748362604008,,,,,4275.478440027284,,,,,4554.077783966233,,,,,5899.304553444959,,,,,7472.446553424745,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4300,,,,,,,,,,,,,,,,,,,,,,,,,,319.62884707735327,,,,,295.1887449959479,,,,,265.9220955479607,,,,,232.2060855993801,,,,,194.76169980070145,,,,,155.41683515559257,,,,,119.52929531402208,,,,,95.02050983032262,,,,,93.77118982076573,,,,,132.850501762508,,,,,241.12190188513742,,,,,462.98731520967556,,,,,784.9216351964651,,,,,1201.3625949979757,,,,,1781.8397315380598,,,,,2547.5798571128503,,,,,3330.659018969363,,,,,4274.116131492597,,,,,5367.932576032401,,,,,6445.491102102466,,,,,7773.18634413149,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4400,,,,,,,,,,,,,,,,,,,,,,,,,,323.20016287986584,,,,,298.9590207998587,,,,,270.06514516138554,,,,,235.41793872308622,,,,,199.351838708596,,,,,160.02842732675228,,,,,123.3590894104345,,,,,96.30165132084002,,,,,90.74380522893259,,,,,123.81772281253357,,,,,229.19842435156775,,,,,411.15364863452965,,,,,743.3991568035893,,,,,1138.4822173474686,,,,,1711.4927898261235,,,,,2398.9617889110627,,,,,3200.327755197619,,,,,4098.267999764518,,,,,5044.709184219954,,,,,6062.073743839596,,,,,7310.011947241579,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4500,,,,,,,,,,,,,,,,,,,,,,,,,,325.79029221274413,,,,,302.0870783966951,,,,,272.8309719081884,,,,,241.32481431759285,,,,,203.61148698668515,,,,,162.73782794472461,,,,,126.55661881229186,,,,,97.4258588669812,,,,,89.6479773428249,,,,,125.27887211139544,,,,,203.2477187866757,,,,,414.506349642445,,,,,672.863904484332,,,,,1192.7324150341074,,,,,1813.2239260919428,,,,,2333.0468649204286,,,,,3497.9112997561897,,,,,4104.811882148469,,,,,5571.537450003032,,,,,6775.1627473932285,,,,,8180.132279678714,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4600,,,,,,,,,,,,,,,,,,,,,,,,,,328.4474725840683,,,,,304.838804605639,,,,,277.8952588312982,,,,,244.76296320044523,,,,,207.6999256795219,,,,,167.6883691612908,,,,,129.14233088223867,,,,,98.67998912199202,,,,,87.17894715389684,,,,,112.95098725933553,,,,,189.12246338987603,,,,,393.2569556707375,,,,,712.9920663743974,,,,,1141.0289595602626,,,,,1768.678491737063,,,,,2605.3550685277482,,,,,3506.163563066643,,,,,4590.011943442477,,,,,5703.992318164205,,,,,6938.0174412923725,,,,,8237.040237695843,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4700,,,,,,,,,,,,,,,,,,,,,,,,,,331.5526867685526,,,,,308.67290012804267,,,,,281.11978209316965,,,,,248.88296399355247,,,,,211.6905343126052,,,,,171.85673211538364,,,,,132.55345113833093,,,,,100.15314939370286,,,,,85.72561990964294,,,,,108.6372659058911,,,,,181.81627167044752,,,,,369.6758068027707,,,,,663.8407714084095,,,,,1081.361529480322,,,,,1712.9667161630125,,,,,2490.045309722612,,,,,3432.182043099489,,,,,4389.600533828888,,,,,5580.0238622094175,,,,,6729.6742257926,,,,,7908.453629818244,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4800,,,,,,,,,,,,,,,,,,,,,,,,,,333.70596901937006,,,,,311.7037414916565,,,,,284.03328104710386,,,,,252.41367726490105,,,,,215.57973655704254,,,,,175.63453070995482,,,,,134.64969164688765,,,,,101.3753034534384,,,,,84.92982065777146,,,,,99.74979391027634,,,,,178.85695535895888,,,,,348.4306454362755,,,,,615.9666684807328,,,,,1112.4813211403332,,,,,1766.250243814758,,,,,2410.7097221086474,,,,,3385.4527022660745,,,,,4424.181697746794,,,,,6012.200715781403,,,,,7340.333308866165,,,,,7776.056118027499,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
